pregunta,row_id,numero,segmento,voto2,respuesta,codigos_asignados,definiciones_codigos,veredicto,observacion,codigos_sugeridos
q1,53,59899501503,Interior Coalición,CM,Pienso q tienen un buen nivel de enseñanza,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
q1,60,59892627420,Montevideo,CM,La educación me parece buena. Lo q no entiendo es lo q está pasando con el ministerio con respeto a los últimos hechos.,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
q1,79,59896225944,Montevideo,CM,"Lamentablemente la educación pública, por motivos de paros, luchas, etcétera, etcétera, ha bajado su nivel y su nivel es formar armante, tanto sea a nivel de universidad como a nivel de escuela. Empecemos. A nivel de universidad todos sabemos, y no es ningún secreto, que los títulos de las universidades públicas valen menos que los de las universidades privadas. Y eso es por la falta de cumplimiento de programas, por los paros, por los ceses, etcétera, etcétera. El nivel de los profesores también ha bajado. Entonces hoy por hoy cualquier empresa le da un valor mayor al de una universidad privada que sabe que van, estudian, se reciben y están para el estudio que es una universidad pública que lo van haciendo a pedacitos. Con respeto a las escuelas. Bueno, es claro saber por qué todo padre prefiere que sus hijos vayan a una escuela privada y no pública. En la escuela privada sabe que van, cumplen un horario, va a hacer todo el año y tienen una educación correcta. En la escuela pública está todo muy bien, podrán comer, no podrán comer, pero sabemos que por una agresión, por lo que sea, se para, no se cumple con los programas y la educación cada vez es menor. Y es así que si vamos a los gobiernos vemos que por ejemplo la hija de Astor y varios hijos más se van a educar como tienen dinero ya ni siquiera en universidades privadas de nuestro país. Van al exterior a educarse. Y eso es un secreto a Voces.",deterioro_y_decadencia_historica; reformas_y_conflictividad; deficit_de_gestion_y_recursos; baja_calidad_guarderia,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia. | reformas_y_conflictividad = Reformas y Conflictividad: Alusiones a los cambios curriculares constantes, la influencia de los sindicatos (paros) y la falta de una política de Estado a largo plazo. | deficit_de_gestion_y_recursos = Déficit de Gestión y Recursos: Críticas orientadas a la mala administración, falta de presupuesto, problemas de infraestructura, materiales y organización del personal. | baja_calidad_guarderia = Baja Calidad / ""Guardería"": Crítica severa que reduce la función de la educación pública a un cuidado asistencial sin contenido pedagógico sólido o con exigencias mínimas.",,,
q1,80,59898596107,Montevideo,FA,Desasttoza,deterioro_y_decadencia_historica,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia.",,,
q1,83,59898705378,Montevideo,CM,Creo que la educación no es de calidad como la de antes   las maestras no están capacitadas para enseñar porque no tienen los conocimientos necesarios y aunque los tuvieran  parecen estar más interesadas en el sueldo que en enseñar,deterioro_y_decadencia_historica; crisis_de_valores_y_respeto,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia. | crisis_de_valores_y_respeto = Crisis de Valores y Respeto: Mención a la pérdida de respeto hacia la figura del docente, falta de valores en los alumnos/familias y cambios negativos en la conducta social.",,,
q1,85,59892814887,Canelones,FA,Le falta mejorar,deficit_de_gestion_y_recursos,"deficit_de_gestion_y_recursos = Déficit de Gestión y Recursos: Críticas orientadas a la mala administración, falta de presupuesto, problemas de infraestructura, materiales y organización del personal.",,,
q1,89,59898857438,Canelones,FA,Es un tema al que poco conozco lo que he escuchado se refiere al abandono curricular,reformas_y_conflictividad,"reformas_y_conflictividad = Reformas y Conflictividad: Alusiones a los cambios curriculares constantes, la influencia de los sindicatos (paros) y la falta de una política de Estado a largo plazo.",,,
q1,97,59899624741,Canelones,FA,Tenemos buena educación publica,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
q1,103,59892612459,Interior Frente Amplio,FA,Es fundamental la educación publica,pilar_de_igualdad_y_democracia,"pilar_de_igualdad_y_democracia = Pilar de Igualdad y Democracia: Valoración de la educación como herramienta de ascenso social, equidad, base de la ciudadanía y derecho universal (Gratuita, Laica y Obligatoria).",,,
q1,105,59899292716,Canelones,FA,Es exelente el compromiso docente en cualquier nivel primaria secundaria utu o terciaria,excelencia_y_satisfaccion,excelencia_y_satisfaccion = Excelencia y Satisfacción: Respuestas que mantienen una valoración positiva absoluta o satisfactoria de la educación actual.,,,
q1,106,59894442929,Canelones,CM,Mucho la educación es la base de la sociedad,pilar_de_igualdad_y_democracia,"pilar_de_igualdad_y_democracia = Pilar de Igualdad y Democracia: Valoración de la educación como herramienta de ascenso social, equidad, base de la ciudadanía y derecho universal (Gratuita, Laica y Obligatoria).",,,
q1,108,59899607971,Canelones,FA,que está cada vez menos valorada y respetada  a la vez se está abusando de facilitar el cursado bajando las evaluaciones  exigencias y promoviendo el avance con mínimas exigencias. Algo que tiene a bajar la deserción pero a un alto costo de calidad  creo que esa uniformización hacia abajo es un error y hoy en día se podría contar con la tecnología para hacer una educación personalizada y acorde a las capacidades de cada individuo  estimulando y dando más herramientas a quienes más lo necesitan. Educar no es pasar un trámite en que solo se termina pidiendo presencialidad. Es ofrecer y consolidar herramientas para el buen vivir.,crisis_de_valores_y_respeto; baja_calidad_guarderia,"crisis_de_valores_y_respeto = Crisis de Valores y Respeto: Mención a la pérdida de respeto hacia la figura del docente, falta de valores en los alumnos/familias y cambios negativos en la conducta social. | baja_calidad_guarderia = Baja Calidad / ""Guardería"": Crítica severa que reduce la función de la educación pública a un cuidado asistencial sin contenido pedagógico sólido o con exigencias mínimas.",,,
q1,111,59898238163,Canelones,FA,Siempre he apoyado a la Educación Pública. Tiene aspectos positivos y negativos pero siempre es la más igualitaria.,pilar_de_igualdad_y_democracia,"pilar_de_igualdad_y_democracia = Pilar de Igualdad y Democracia: Valoración de la educación como herramienta de ascenso social, equidad, base de la ciudadanía y derecho universal (Gratuita, Laica y Obligatoria).",,,
q1,119,59899883252,Interior Frente Amplio,FA,Es un sistema que  va mas lento en comparación con la evolución de los tiempos que corren falta un debate claro contundente que es lo mejor para perder la escencia en valores acompasar los tiempos con los cambios tecnológicos y poder cuidar la integridad de la niñez y juventud para no agrandar una grieta entre futuro esperanzo y desarrollo de la poblaciòn,deterioro_y_decadencia_historica; crisis_de_valores_y_respeto; reformas_y_conflictividad,"deterioro_y_decadencia_historica = Deterioro y Decadencia Histórica: Percepción de que la calidad educativa ha bajado en comparación con el pasado (""no es la de antes""), mencionando pérdida de nivel académico o de exigencia. | crisis_de_valores_y_respeto = Crisis de Valores y Respeto: Mención a la pérdida de respeto hacia la figura del docente, falta de valores en los alumnos/familias y cambios negativos en la conducta social. | reformas_y_conflictividad = Reformas y Conflictividad: Alusiones a los cambios curriculares constantes, la influencia de los sindicatos (paros) y la falta de una política de Estado a largo plazo.",,,
q2,9,59899825457,Canelones,FA,Es fundamental Pero no solo por lo educativo y curricular ya que a través de la enseñanza se pueden implementar políticas públicas y hacer el seguí de los resultados que se obtienen,formacion_integral_y_para_la_vida; pensamiento_critico_y_ciudadania,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos. | pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad.",,,
q2,28,59891916227,Montevideo,FA,"Creo que habría que mirar hacia adelante y replantearnos cuál queremos que sea el futuro para nuestros hijos, nuestros nietos y hacer una reestructura de la enseñanza pública en general, volvernos a las raíces, enseñar de verdad y no como estos últimos tiempos que la verdad se ha perdido todos valores de educación no solo en materia de la educación pública sino también desde el hogar, ¿verdad? Hay que cambiar muchas cosas",retorno_a_lo_fundamental_raices; contencion_social_y_valores; corresponsabilidad_hogar_escuela,"retorno_a_lo_fundamental_raices = Retorno a lo Fundamental (Raíces): Reclamo por volver a métodos de enseñanza tradicionales, priorizando la lectoescritura, el cálculo, la historia y la geografía, alejándose del exceso de tecnología. | contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar. | corresponsabilidad_hogar_escuela = Corresponsabilidad Hogar-Escuela: Énfasis en que la educación no es solo tarea del Estado, sino que debe haber una conexión y responsabilidad compartida con los padres.",,,
q2,39,59897154628,Montevideo,FA,Ni idea,formacion_integral_y_para_la_vida,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q2,41,59899367292,Interior Coalición,CM,Debería ser una de las prioridades,formacion_integral_y_para_la_vida,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q2,45,59893884562,Montevideo,FA,"Debe partir de una política de Estado
Extra partidaria.
Después de las enseñanzas en el seno familiar, es la educación lo más importante.",corresponsabilidad_hogar_escuela,"corresponsabilidad_hogar_escuela = Corresponsabilidad Hogar-Escuela: Énfasis en que la educación no es solo tarea del Estado, sino que debe haber una conexión y responsabilidad compartida con los padres.",,,
q2,47,59892658643,Montevideo,FA,"Creo que no solo debería ser la transmisión de contenidos que es lo que sucede hoy por hoy, en la actualidad. Una docente transmitiendo lo que aprendió y el sistema cree que es lo adecuado.
 Creo que va más halla de eso. Ni bien la matemática, historia, geografía, etc.. son necesarias, pero no es lo único que se necesita para formar futuros ciudadanos en una sociedad.",formacion_integral_y_para_la_vida; pensamiento_critico_y_ciudadania,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos. | pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad.",,,
q2,49,59892046958,Interior Coalición,CM,Que los maestros cumplan como antes enseñanza de ante era mejor hora faltan muchos y hacen paro cantidad interior,retorno_a_lo_fundamental_raices,"retorno_a_lo_fundamental_raices = Retorno a lo Fundamental (Raíces): Reclamo por volver a métodos de enseñanza tradicionales, priorizando la lectoescritura, el cálculo, la historia y la geografía, alejándose del exceso de tecnología.",,,
q2,59,59898449943,Interior Coalición,CM,"Pienso que debe formar la ciudadanía, es decir, formar en valores, formar en conocimientos, despertar aquellas capacidades que cada uno trae al nacer y preparar para la vida. Eso es, si hay lugar a dudas, preparar para la vida, el gran desafío que tiene la educación. No hay otro.",contencion_social_y_valores; pensamiento_critico_y_ciudadania; formacion_integral_y_para_la_vida,"contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar. | pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad. | formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q2,63,59899342122,Interior Frente Amplio,FA,"Es y debe ser fundamental. Sin educación nos dominan, no nos deja razonar, pensar, decidir. Cuánto más podamos formar a nuestros jóvenes, mejor país tendremos.",pensamiento_critico_y_ciudadania,"pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad.",,,
q2,69,59899435002,Interior Coalición,CM,"Creo que debería ser desafiar a sus estudiantes, generar inquietudes de aprendizaje y lamentablemente debido a que muchos niños viven en situaciones críticas económicas, y de violencia tendría que dar contención emocional y atención psicológica.",contencion_social_y_valores; proteccion_frente_a_riesgos_sociales; atraccion_y_retencion_anti_desercion,"contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar. | proteccion_frente_a_riesgos_sociales = Protección frente a Riesgos Sociales: La educación como un escudo o alternativa frente a peligros del entorno como las drogas, la calle o el uso problemático de redes sociales. | atraccion_y_retencion_anti_desercion = Atracción y Retención (Anti-deserción): La necesidad de que la enseñanza sea motivadora y atractiva para que los estudiantes no abandonen el sistema.",,,
q2,71,59894142245,Montevideo,FA,No se,formacion_integral_y_para_la_vida,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q2,73,59891721212,Interior Coalición,CM,"No sé si tiene sentido, pero se necesita que enseñen a pensar a la gente y no solo repetir",pensamiento_critico_y_ciudadania,"pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad.",,,
q2,75,59899554334,Interior Frente Amplio,FA,Darles herramientas a los estudiantes para que puedan desarrollar su pensamiento critico. No hacer que pasen solo porque los de arriba quieren números en verde.,pensamiento_critico_y_ciudadania,"pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad.",,,
q2,76,59899965225,Interior Frente Amplio,FA,"La educación es fundamental. Así como la salud. Es la base de una mejor calidad de vida, de un futuro digno.",formacion_integral_y_para_la_vida,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q2,81,59899767001,Interior Coalición,CM,Cada día mas importante que la educación promueva valores de convivencia y personales ya q en muchísimos hogares no se fomentan,contencion_social_y_valores,"contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar.",,,
q2,82,59894590650,Montevideo,FA,Unos de los principales del país.,formacion_integral_y_para_la_vida,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q2,86,59898342094,Canelones,FA,"Bueno, creo que es una de las salidas que hay, es la educación para todo el mundo, ya sea en un oficio, en una herramienta que te permita trabajar, en oficios, en este... Bueno, no todo el mundo tiene que estudiar carreras, pero algo que capacite a la gente para salir al mercado de trabajo. Y también, bueno, en el caso de los niños, a veces alejarlos de estar en la calle o incluso en la casa, porque a veces los contextos de la familia no son los mejores.",formacion_integral_y_para_la_vida; proteccion_frente_a_riesgos_sociales; inclusion_y_equidad_de_oportunidades,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos. | proteccion_frente_a_riesgos_sociales = Protección frente a Riesgos Sociales: La educación como un escudo o alternativa frente a peligros del entorno como las drogas, la calle o el uso problemático de redes sociales. | inclusion_y_equidad_de_oportunidades = Inclusión y Equidad de Oportunidades: El rol de la educación como igualador social, brindando asistencia especial a los sectores más vulnerables.",,,
q2,90,59899059140,Canelones,CM,"Asumir un rol de formación efectiva, que incluya la reivindicación de los valores de convivencia social pacífica. Y eso incluye a los padres quizás mediante talleres o charlas qué les recalquen su rol de firmes orientadores no de permanentes justificadores!!!",contencion_social_y_valores; corresponsabilidad_hogar_escuela,"contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar. | corresponsabilidad_hogar_escuela = Corresponsabilidad Hogar-Escuela: Énfasis en que la educación no es solo tarea del Estado, sino que debe haber una conexión y responsabilidad compartida con los padres.",,,
q2,91,59894433483,Canelones,FA,Que sea una educacion en valores;empatia,contencion_social_y_valores,"contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar.",,,
q2,93,59893758728,Canelones,CM,Lo q a sido siempre educar,contencion_social_y_valores,"contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar.",,,
q2,103,59892612459,Interior Frente Amplio,FA,El primero,formacion_integral_y_para_la_vida,"formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q2,107,59898461446,Canelones,FA,"El mejor, se han perdido muchos valores",contencion_social_y_valores,"contencion_social_y_valores = Contención Social y Valores: La escuela como espacio de transmisión moral, cívica y de integración, cubriendo a veces las carencias formativas del hogar.",,,
q2,118,59899983322,Interior Frente Amplio,FA,Debe ser la prioridad del gobierno. La educación es el pilar de toda la ciudadanía.,pensamiento_critico_y_ciudadania,"pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad.",,,
q2,119,59899883252,Interior Frente Amplio,FA,"Primero un buen debate entre la cátedra  con especialistas que analicen el contexto general del mundo tecnológico y crear seres más pensantes menos automatizados, seres que tengan pragmatismo y se preparen para mejorarse y mejorar las futuras generaciones",pensamiento_critico_y_ciudadania; formacion_integral_y_para_la_vida,"pensamiento_critico_y_ciudadania = Pensamiento Crítico y Ciudadanía: El objetivo de formar individuos libres, informados y capaces de cuestionar la realidad para mejorar la sociedad. | formacion_integral_y_para_la_vida = Formación Integral y para la Vida: La educación vista como un proceso que trasciende lo académico para preparar a la persona en su autonomía, capacidad de adaptación y resolución de problemas cotidianos.",,,
q4,32,59898818861,Interior Coalición,CM,para mí lo que hicieron el otro día en el oeste norte este fue mucho chaleco mucha identificación que estaban que mucha presencia pero yo para mí no va a quedar más de eso presencia policial supuestamente y mejora la calidad de vida pero por ahora para mí es un cuento,seguridad_y_disuasion; percepcion_negativa_escepticismo,"seguridad_y_disuasion = Seguridad y Disuasión: Enfoque prioritario en la vigilancia, presencia policial y combate a la violencia o el narcotráfico en zonas conflictivas. | percepcion_negativa_escepticismo = Percepción Negativa / Escepticismo: Visión del programa como una acción superficial, electoralista o con prejuicios sobre los beneficiarios.",,,
q4,33,59899303485,Montevideo,FA,"He escuchado que es un plan del Estado para mejorar lo que es la vivienda y la seguridad, entre otras cosas, de la población.",intervencion_multidisciplinaria_del_estado; seguridad_y_disuasion; mejora_de_infraestructura_y_urbanismo,"intervencion_multidisciplinaria_del_estado = Intervención Multidisciplinaria del Estado: Definición del programa como una acción conjunta de varios organismos públicos para atender necesidades de salud, vivienda, educación e infraestructura. | seguridad_y_disuasion = Seguridad y Disuasión: Enfoque prioritario en la vigilancia, presencia policial y combate a la violencia o el narcotráfico en zonas conflictivas. | mejora_de_infraestructura_y_urbanismo = Mejora de Infraestructura y Urbanismo: Menciones específicas a obras físicas: alumbrado, saneamiento, arreglo de calles, plazas, realojos y conectividad.",,,
q4,35,59892909395,Montevideo,CM,2,intervencion_multidisciplinaria_del_estado,"intervencion_multidisciplinaria_del_estado = Intervención Multidisciplinaria del Estado: Definición del programa como una acción conjunta de varios organismos públicos para atender necesidades de salud, vivienda, educación e infraestructura.",,,
q4,45,59893884562,Montevideo,FA,Qur intenta generar compromiso de la comunidad con las fuerzas vivas y viceversa.,intervencion_multidisciplinaria_del_estado,"intervencion_multidisciplinaria_del_estado = Intervención Multidisciplinaria del Estado: Definición del programa como una acción conjunta de varios organismos públicos para atender necesidades de salud, vivienda, educación e infraestructura.",,,
q4,49,59892046958,Interior Coalición,CM,1,intervencion_multidisciplinaria_del_estado,"intervencion_multidisciplinaria_del_estado = Intervención Multidisciplinaria del Estado: Definición del programa como una acción conjunta de varios organismos públicos para atender necesidades de salud, vivienda, educación e infraestructura.",,,
q4,70,59899569136,Interior Frente Amplio,FA,El programa del Gobierno que busca abordar problemas de seguridad  vivienda e infraestructura,seguridad_y_disuasion; mejora_de_infraestructura_y_urbanismo; intervencion_multidisciplinaria_del_estado,"seguridad_y_disuasion = Seguridad y Disuasión: Enfoque prioritario en la vigilancia, presencia policial y combate a la violencia o el narcotráfico en zonas conflictivas. | mejora_de_infraestructura_y_urbanismo = Mejora de Infraestructura y Urbanismo: Menciones específicas a obras físicas: alumbrado, saneamiento, arreglo de calles, plazas, realojos y conectividad. | intervencion_multidisciplinaria_del_estado = Intervención Multidisciplinaria del Estado: Definición del programa como una acción conjunta de varios organismos públicos para atender necesidades de salud, vivienda, educación e infraestructura.",,,
q4,76,59899965225,Interior Frente Amplio,FA,Es un plan q empezó hace poquito. Se trata de mejorar la seguridad  el acceso  la vivienda  etc con intervencion del estado. Empezó x Cerro Norte.,intervencion_multidisciplinaria_del_estado; seguridad_y_disuasion; mejora_de_infraestructura_y_urbanismo; referencia_territorial_cerro_norte,"intervencion_multidisciplinaria_del_estado = Intervención Multidisciplinaria del Estado: Definición del programa como una acción conjunta de varios organismos públicos para atender necesidades de salud, vivienda, educación e infraestructura. | seguridad_y_disuasion = Seguridad y Disuasión: Enfoque prioritario en la vigilancia, presencia policial y combate a la violencia o el narcotráfico en zonas conflictivas. | mejora_de_infraestructura_y_urbanismo = Mejora de Infraestructura y Urbanismo: Menciones específicas a obras físicas: alumbrado, saneamiento, arreglo de calles, plazas, realojos y conectividad. | referencia_territorial_cerro_norte = Referencia Territorial (Cerro Norte): Respuestas que identifican el programa directamente por el lugar donde comenzó la implementación.",,,
q4,81,59899767001,Interior Coalición,CM,Que es un programa multidisciplinario para intervenir en barrios conflictivos,intervencion_multidisciplinaria_del_estado,"intervencion_multidisciplinaria_del_estado = Intervención Multidisciplinaria del Estado: Definición del programa como una acción conjunta de varios organismos públicos para atender necesidades de salud, vivienda, educación e infraestructura.",,,
q4,85,59892814887,Canelones,FA,Mejoras en cerro norte,referencia_territorial_cerro_norte,referencia_territorial_cerro_norte = Referencia Territorial (Cerro Norte): Respuestas que identifican el programa directamente por el lugar donde comenzó la implementación.,,,
q5,1,59891476217,Canelones,FA,Patrullaje,disuasion_y_presencia_activa,"disuasion_y_presencia_activa = Disuasión y Presencia Activa: Demandas de mayor patrullaje (inteligente o a pie), vigilancia 24hs y uso de garitas para evitar que el delito ocurra por ""oportunidad"".",,,
q5,7,59897737005,Canelones,FA,En todo  se i su papel fundamental es el resguardo de la población debe estar en todos los lugares donde esta se desempeña,intervencion_integral_multifocal,"intervencion_integral_multifocal = Intervención Integral (Multifocal): Visión de que el MI no puede actuar solo y debe participar en la mejora de infraestructura, iluminación y convivencia general.",,,
q5,10,59898714758,Montevideo,CM,En la seguridad y darle su pena a las personas que cometan delitos,control_territorial_estricto,"control_territorial_estricto = Control Territorial Estricto: Acciones de control de identidad, registro de personas y ""limpieza"" de zonas conflictivas bajo un modelo de autoridad rígida.",,,
q5,22,59899022680,Interior Frente Amplio,FA,Policía de sercania,policia_de_cercania_comunitaria,policia_de_cercania_comunitaria = Policía de Cercanía / Comunitaria: Enfoque en recuperar el vínculo de confianza entre el policía y el vecino; funcionarios que conozcan el barrio y actúen como mediadores.,,,
q5,23,59894292481,Canelones,FA,En todo sentido,intervencion_integral_multifocal,"intervencion_integral_multifocal = Intervención Integral (Multifocal): Visión de que el MI no puede actuar solo y debe participar en la mejora de infraestructura, iluminación y convivencia general.",,,
q5,26,59899123469,Interior Coalición,CM,El ministerio del interior se tendria que involucrar en lo que refiere a seguridad  patrullaje de las zonas mas conflictivas. Control de la gente que se mueve por la zona. Exigir documentos.,disuasion_y_presencia_activa; control_territorial_estricto,"disuasion_y_presencia_activa = Disuasión y Presencia Activa: Demandas de mayor patrullaje (inteligente o a pie), vigilancia 24hs y uso de garitas para evitar que el delito ocurra por ""oportunidad"". | control_territorial_estricto = Control Territorial Estricto: Acciones de control de identidad, registro de personas y ""limpieza"" de zonas conflictivas bajo un modelo de autoridad rígida.",,,
q5,32,59898818861,Interior Coalición,CM,"en el patrullaje y en más presencia policial en las plazas, en los lugares públicos, más presencia policial de repente como antes que eran con garitas de a pie, no una vueltita y se van porque el delincuente, la camioneta de la policía dio la vuelta y el delincuente hizo lo suyo. No, eso, doy una vuelta y me voy, no sirve tampoco.",disuasion_y_presencia_activa,"disuasion_y_presencia_activa = Disuasión y Presencia Activa: Demandas de mayor patrullaje (inteligente o a pie), vigilancia 24hs y uso de garitas para evitar que el delito ocurra por ""oportunidad"".",,,
