cat_cerrada,codigo,descripcion
Seguridad,Inseguridad – Directa,"Comentarios en primera persona que describen hechos concretos de inseguridad o delitos que afectan directamente al emisor. Incluye robos, rapiñas, agresiones físicas u otros ataques con referencia explícita al evento vivido. Excluye experiencias de terceros, relatos generales de criminalidad y percepciones de miedo sin evento concreto."
Seguridad,Inseguridad – Indirecta,"Comentarios en tercera persona que describen hechos de inseguridad que afectan a terceros cercanos (familiares, vecinos, amigos). Incluye robos, rapiñas, agresiones u otros delitos reportados por el participante pero sufridos por otros. Excluye hechos que afectan directamente al emisor o percepciones generales de inseguridad."
Seguridad,Miedo – General,"Comentarios que expresan temor, preocupación o sensación de inseguridad subjetiva, sin que ocurra un hecho concreto ni se mencione un tercero. Incluye miedo a la delincuencia o violencia en términos abstractos. Excluye hechos específicos que afecten al emisor o a terceros."
Seguridad,Miedo – Situación Barrio,"Comentarios que expresan temor o percepción de inseguridad asociada al barrio o entorno, sin mención de un hecho concreto ocurrido. Incluye percepciones de peligro constante o deterioro de la seguridad local. Excluye relatos de hechos puntuales, que corresponden a inseguridad directa o indirecta."
Seguridad,Seguridad – General,"Comentarios que describen la situación de seguridad de manera objetiva o estructural, sin relación con experiencias personales, temores subjetivos ni hechos puntuales. Incluye referencias a delincuencia, violencia o seguridad pública en términos generales. Excluye percepciones personales de miedo y relatos de hechos específicos."
Seguridad,Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de seguridad. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Seguridad,Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de seguridad. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Seguridad,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema seguridad, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en seguridad."
Seguridad,No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con seguridad. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre seguridad."
Salud,Calidad – Disponibilidad Turnos,"Comentarios que describen dificultades para conseguir citas médicas o turnos oportunos, incluyendo demoras excesivas, largas esperas o imposibilidad de acceder a la atención dentro de plazos razonables. Palabras clave: “no hay turnos”, “larga espera”, “me toca dentro de meses”, “imposible conseguir cita”. Excluye problemas de coordinación interna de servicios, falta de médicos o medicamentos, y problemas personales aislados."
Salud,Calidad – Falta Medicamentos,"Comentarios que indican falta de disponibilidad de medicamentos necesarios para tratamientos o consultas médicas. Incluye falta de stock, medicamentos no cubiertos por el sistema o problemas en la entrega de recetas. Palabras clave: “no hay medicamento”, “falta stock”, “receta no cubierta”, “medicación no disponible”. Excluye problemas de acceso a turnos, tiempo de espera para atención, coordinación profesional o dificultades administrativas personales."
Salud,Calidad – Falta Médicos,"Comentarios que mencionan escasez de personal médico o especialistas, que genera dificultades para brindar atención o cubrir turnos. Palabras clave: “falta médico”, “no hay especialistas”, “personal insuficiente”, “cupo limitado por escasez de médicos”. Excluye problemas de disponibilidad de turnos derivados de mala organización administrativa, falta de medicamentos o problemas personales aislados."
Salud,Calidad – General,"Comentarios que evalúan la calidad del servicio de salud de manera global, sin referirse a problemas específicos de turnos, medicamentos o disponibilidad de médicos. Incluye percepciones sobre eficiencia, organización, coordinación o atención en términos generales. Palabras clave: “servicio deficiente”, “mala calidad”, “sistema caótico”, “atención ineficiente”. Excluye comentarios específicos y problemas circunstanciales individuales."
Salud,Costos,"Comentarios que expresan dificultades económicas para acceder a tratamientos, procedimientos o medicamentos debido a su costo. Incluye falta de cobertura, precios elevados, imposibilidad de pagar y gastos asociados al cuidado de la salud. Palabras clave: “no puedo pagar”, “muy caro”, “sin cobertura”, “alto costo”, “gasto inaccesible”. Excluye problemas de disponibilidad de turnos, falta de médicos o falta de medicamentos por stock, y problemas administrativos no relacionados con el costo."
Salud,Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de salud. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Salud,Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de salud. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Salud,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema salud, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en salud."
Salud,No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con salud. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre salud."
Transporte / Tránsito,Transporte Público – Calidad / Precio,"Comentarios que expresan insatisfacción con el precio del transporte público en relación al servicio ofrecido, señalando que es elevado o injustificado. Palabras clave: “boleto caro”, “precio elevado”. Excluye problemas de frecuencia, disponibilidad, tránsito general o infraestructura vial."
Transporte / Tránsito,Transporte Público – Disponibilidad y Frecuencia,"Comentarios que describen dificultades para acceder al transporte en horarios adecuados, frecuencia insuficiente, falta de líneas o buses saturados. Palabras clave: “no pasan a horario”, “faltan líneas”, “ómnibus llenos”, “esperas largas”, “horarios irregulares”. Excluye problemas de costo, infraestructura vial o tránsito general."
Transporte / Tránsito,Tránsito y Circulación,"Comentarios que describen problemas generales de movilidad vehicular, congestión, cortes de calles, caos en la circulación, descoordinación o dificultades de flujo. Palabras clave: “tránsito caótico”, “cortes de calles”, “congestión”, “flujo interrumpido”. Excluye transporte público (precio, frecuencia, líneas) e infraestructura vial."
Transporte / Tránsito,Infraestructura y Seguridad Vial,"Comentarios que mencionan calidad de calles, señalización, veredas, estacionamientos, semáforos, ciclovías y seguridad vial. Palabras clave: “falta de veredas”, “estacionamiento limitado”, “ciclovías mal ubicadas”, “seguridad vial”. Excluye problemas de transporte público, frecuencia, costos, congestión general o problemas circunstanciales individuales."
Transporte / Tránsito,Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de tránsito. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Transporte / Tránsito,Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de tránsito. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Transporte / Tránsito,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema tránsito, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en tránsito."
Transporte / Tránsito,No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con tránsito. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre tránsito."
Educación,Fallas Institucionales,"Comentarios que describen desorganización, ineficiencia o mal funcionamiento del sistema educativo, incluyendo problemas administrativos, mala gestión, rotación o inadecuación del personal docente. Palabras clave: problemas institucionales, desorganización, caos, mala gestión, rotación de maestros, profesores inadecuados, falta de referentes, renuncias. Excluye comentarios centrados en presupuesto, control financiero, paros, violencia escolar o inversión general."
Educación,Paros / Interrupciones,"Comentarios que señalan interrupciones del servicio educativo o paros, reclamando mayor inversión o financiamiento general, sin especificar un destino concreto. Palabras clave: inversión, recursos, financiamiento, presupuesto insuficiente. Excluye comentarios que mencionen control financiero, fallas institucionales o apoyo docente como foco principal."
Educación,Falta Inversión Educación,"Comentarios que reclaman mayor inversión o financiamiento general en educación, sin especificar destino concreto (infraestructura, docentes, etc.). Palabras clave: inversión, recursos, financiamiento, presupuesto insuficiente. Excluye comentarios sobre control financiero, fallas institucionales o apoyo docente como foco principal."
Educación,Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de educación. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Educación,Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de educación. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Educación,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema educación, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en educación."
Educación,No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con educación. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre educación."
Infrestructura Urbana,Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de educación. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Infrestructura Urbana,Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de educación. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Infrestructura Urbana,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema educación, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en educación."
Infrestructura Urbana,No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con educación. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre educación."
Problemas Vecinales,Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de educación. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Problemas Vecinales,Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de educación. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Problemas Vecinales,Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema educación, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en educación."
Problemas Vecinales,No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con educación. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre educación."
Otros (Especificar),Circunstancial,"Comentarios que describen problemas altamente específicos y personales, que afectan únicamente al encuestado o a su entorno inmediato, sin representar tendencias generales ni fallas estructurales del área de educación. Incluye conflictos interpersonales, situaciones de salud aisladas, dificultades administrativas o de acceso individuales. Excluye problemas generales o estructurales que puedan afectar a múltiples personas."
Otros (Especificar),Sin Problemas,"Comentarios que indican explícitamente ausencia de dificultades o inconvenientes durante el período de referencia en el área de educación. Palabras clave: ningún problema, todo bien, sin inconvenientes, ninguna dificultad, normal. Excluye comentarios que describan problemas o conflictos, incluso leves."
Otros (Especificar),Sin Clasificar,"Comentarios que no encajan en ninguna categoría existente dentro del tema educación, por ser ambiguos, irrelevantes, demasiado generales o referirse a subtemas no contemplados. Se aplica únicamente por exclusión de otras categorías. Excluye comentarios que claramente correspondan a códigos definidos en educación."
Otros (Especificar),No Sabe / No Contesta,"Comentarios que expresan desconocimiento, falta de opinión o ausencia de respuesta sobre cuestiones relacionadas con educación. Palabras clave: no sé, no sabe, no tengo idea, no contesto, no opino, no respondo. Excluye comentarios que proporcionen información, evaluación o percepción sobre educación."
